time,N=2,N=20,N=100,N=500,N=1000
0.678,82.3664032211,77.7700189684,76.0432077592,75.2560142399,75.326978529
0.68,81.2393171668,76.595785554,74.7879648885,73.9626685512,74.021676621
0.682,79.8179647798,75.1126569804,73.2374474132,72.3992747384,72.4517714715
0.684,79.2370391141,74.5240721858,72.6449562585,71.8113222697,71.86303504
0.686,81.6194073657,77.1936213693,75.5531155575,74.8062739281,74.8853509992
0.688,82.7207005124,78.2009857913,76.355717067,75.4412786147,75.477842873
0.69,81.0892127417,76.8460444474,75.2341810701,74.3295591181,74.3509693051
0.692,81.3233398477,77.0798749246,75.4755696115,74.5826558604,74.6082692151
0.694,79.7072997888,75.2991201817,73.5311273553,72.5430092617,72.5386089943
0.696,81.5080315977,77.6536964733,76.3165518978,75.516761158,75.5635285204
0.698,81.1684657054,77.2444383101,75.8940263068,75.1021180614,75.1495903099
0.7,81.2817504041,77.3743417543,76.0249840483,75.2332921538,75.2815027138
0.702,81.838449842,78.0085630546,76.6621439013,75.8757159828,75.9282586936
0.704,83.3791078436,79.6900374236,78.2968691289,77.505722567,77.5654178823
0.706,83.0963639387,79.403308929,78.0330754568,77.2465629968,77.3057334894
0.708,81.324792765,77.4578885284,76.0274509832,75.1759901785,75.2114069157
0.71,81.3456703783,77.480574572,76.0508402179,75.1995827558,75.2351056713
0.712,79.5073872637,75.4572748962,74.0821897843,73.2849151953,73.3260516113
0.714,80.5787443837,76.7824980522,75.5209356054,74.7700005456,74.8264193807
0.716,82.5010888972,79.0632005184,77.8279776331,77.0497089404,77.1071267597
0.718,83.8921331903,80.6031218328,79.277755074,78.4552052653,78.5102531188
0.72,83.5792329915,80.2704837221,78.9676602474,78.1495581963,78.2038014982
0.722,82.9182457898,79.5981104967,78.3425189526,77.5308058784,77.5831867585
0.724,84.4049967723,81.1592344167,79.8930852637,79.1073052902,79.1723766094
0.726,84.7596078854,81.5214753921,80.2450115904,79.4583359727,79.5246457519
0.728,85.3391869218,82.1396545146,80.8768134747,80.1026431295,80.1742832726
0.73,83.6840538885,80.3896478943,79.117274743,78.3335202235,78.396380845
0.732,83.1533194873,79.7498287036,78.4085690759,77.5943247759,77.6481429842
0.734,84.5421746687,81.5194717136,80.3911850838,79.6509163483,79.7264791573
0.736,85.630096501,82.7689264129,81.600276729,80.8045640884,80.870987053
0.738,85.2220062139,82.3336551869,81.2009885267,80.4162210009,80.48234318
0.74,85.5389065032,82.6836615639,81.5509551245,80.7725592608,80.8418036772
